NumConjunto;NumOperacoes
757;158062654
758;158692639
759;159324375
760;159957906
761;160593192
762;161230247
763;161869073
764;162509694
765;163152098
766;163796299
767;164442299
768;165091382
769;165741772
770;166393483
771;167046517
772;167700898
773;168356614
774;169013679
775;169672095
776;170331906
777;170993072
778;171655607
779;172319513
780;172984814
781;173651498
782;174319579
783;174989059
784;175660022
785;176332372
786;177006123
787;177681277
788;178357858
789;179035854
790;179715279
791;180396135
792;181078466
793;181762232
794;182447447
795;183134113
796;183822254
797;184511858
798;185202939
799;185895499
800;186589702
801;187285340
802;187982427
803;188680965
804;189380978
805;190082454
806;190785407
807;191489839
808;192195794
809;192903232
810;193612167
811;194322601
812;195034558
813;195748026
814;196463019
815;197179539
816;197897670
817;198617316
818;199338491
819;200061197
820;200785458
821;201511262
822;202238623
823;202967543
824;203698066
825;204430152
826;205163815
827;205899057
828;206635902
829;207374338
830;208114379
831;208856027
832;209599606
833;210344684
834;211091275
835;211839381
836;212589026
837;213340198
838;214092911
839;214847167
840;215603010
841;216360400
842;217119351
843;217879865
844;218641966
845;219405642
846;220170907
847;220937763
848;221706294
849;222476404
850;223248107
851;224021405
852;224796322
853;225572846
854;226350991
855;227130759
856;227912194
857;228695256
858;229479959
859;230266305
860;231054318
861;231843986
862;232635323
863;233428331
864;234223174
865;235019644
866;235817755
867;236617509
868;237418930
869;238222006
870;239026751
871;239833167
872;240641298
873;241451104
874;242262599
875;243075785
876;243890686
877;244707290
878;245525611
879;246345651
880;247167494
881;247991044
882;248816315
883;249643309
884;250472050
885;251302526
886;252134751
887;252968727
888;253804498
889;254642024
890;255481319
891;256322385
892;257165246
893;258009890
894;258856331
895;259704571
896;260555254
897;261407500
898;262261323
899;263116725
900;263973730
901;264832326
902;265692527
903;266554335
904;267417794
905;268282864
906;269149559
907;270017881
908;270887854
909;271759466
910;272632731
911;273507651
912;274384310
913;275262612
914;276142571
915;277024189
916;277907490
917;278792462
918;279679119
919;280567463
920;281457538
921;282349304
922;283242775
923;284137953
924;285034862
925;285933490
926;286833851
927;287735947
928;288639942
929;289545628
930;290453019
931;291362117
932;292272946
933;293185494
934;294099775
935;295015791
936;295933586
937;296853120
938;297774407
939;298697449
940;299622270
941;300548858
942;301477227
943;302407379
944;303339398
945;304273188
946;305208763
947;306146125
948;307085298
949;308026270
950;308969055
951;309913655
952;310860114
953;311808392
954;312758503
955;313710449
956;314664254
957;315619906
958;316577419
959;317536795
960;318498358
961;319461676
962;320426763
963;321393621
964;322362274
965;323332710
966;324304943
967;325278975
968;326254850
969;327232528
970;328212023
971;329193337
972;330176494
973;331161482
974;332148315
975;333136995
976;334127606
977;335120052
978;336114347
979;337110493
980;338108514
981;339108398
982;340110159
983;341113799
984;342119362
985;343126808
986;344136151
987;345147393
988;346160558
989;347175634
990;348192635
991;349211563
992;350232582
993;351255484
994;352280283
995;353306981
996;354335602
997;355366134
998;356398591
999;357432975
1000;358469330
